"Kode Kegiatan","Satuan"
"611010305","KG"
"611010108","KG"
"611010102","KG"
"611010101","HA"
"711100203","HK"
"711100202","HK"
"711100201","HK"
"621100104","PKK"
"621100103","PKK"
"621100101","HA"
"621100102","PKK"
"126510101","PKK"
"126510103","HA"
"7119908002","TRIP"
"7111503005","TRIP"
"7111503004","TRIP"
"7111503006","HK"
"7119908001","KM"
"7119907001","TRIP"
"7119902001","KM"
"7112003001","KM"
"7112001001","UNIT"
"7111612003","LOT"
"7111612002","LOT"
"7111612001","LOT"
"7111602001","UNIT"
"7111601003","UNIT"
"7111601002","HM"
"7111601001","KM"
"7111402097","JAM"
"7111402096","JAM"
"7111402094","JAM"
"7111402093","JAM"
"7111402092","JAM"
"7111402091","JAM"
"7111402090","JAM"
"7111402089","JAM"
"7111402088","JAM"
"7111402095","JAM"
"7111503003","HK"
"7111503002","TRIP"
"7111503001","TRIP"
"7111501009","KM"
"7111501008","UNIT"
"7111501007","UNIT"
"7111501006","UNIT"
"7111501005","KM"
"7111501004","TRIP"
"7111501003","KM"
"7111501002","KM"
"7111501001","KM"
"7111405003","TRIP"
"7111403002","HM"
"7111403001","KM"
"7111402110","JAM"
"7111402109","JAM"
"7111402108","JAM"
"7111402107","JAM"
"7111402106","JAM"
"7111402105","JAM"
"7111402104","JAM"
"7111402103","JAM"
"7111402102","JAM"
"7111402101","JAM"
"7111402100","JAM"
"7111402099","JAM"
"7111402098","JAM"
"7111402080","JAM"
"7111402087","JAM"
"7111402086","JAM"
"7111402085","JAM"
"7111402084","JAM"
"7111402083","JAM"
"7111402082","JAM"
"7111402081","JAM"
"7111402079","JAM"
"7111402078","JAM"
"7111402077","JAM"
"7111402076","JAM"
"7111402075","JAM"
"7111402074","JAM"
"7111402073","JAM"
"7111402072","JAM"
"7111402071","JAM"
"7111402070","JAM"
"7111402069","JAM"
"7111402068","JAM"
"7111402067","JAM"
"7111402066","JAM"
"7111402065","JAM"
"7111402064","JAM"
"7111402063","JAM"
"7111402062","JAM"
"7111402061","JAM"
"7111402060","JAM"
"7111402059","JAM"
