"Kode Kegiatan","Satuan"
"611010108","KG"
"611010305","KG"
"611010102","KG"
"611010101","HA"
"711100203","HK"
"711100202","HK"
"711100201","HK"
"621100104","PKK"
"621100103","PKK"
"621100101","HA"
"621100102","PKK"
"126510101","PKK"
"126510103","HA"
"711990800"2",TRIP"
"711150300"5",TRIP"
"711150300"4",TRIP"
"711150300"6",HK"
"711990800"1",KM"
"711990700"1",TRIP"
"711990200"1",KM"
"711200300"1",KM"
"711200100"1",UNIT"
"711161200"3",LOT"
"711161200"2",LOT"
"711161200"1",LOT"
"711160200"1",UNIT"
"711160100"3",UNIT"
"711160100"2",HM"
"711160100"1",KM"
"711140209"7",JAM"
"711140209"6",JAM"
"711140209"4",JAM"
"711140209"3",JAM"
"711140209"2",JAM"
"711140209"1",JAM"
"711140209"0",JAM"
"711140208"9",JAM"
"711140208"8",JAM"
"711140209"5",JAM"
"711150300"3",HK"
"711150300"2",TRIP"
"711150300"1",TRIP"
"711150100"9",KM"
"711150100"8",UNIT"
"711150100"7",UNIT"
"711150100"6",UNIT"
"711150100"5",KM"
"711150100"4",TRIP"
"711150100"3",KM"
"711150100"2",KM"
"711150100"1",KM"
"711140500"3",TRIP"
"711140300"2",HM"
"711140300"1",KM"
"711140211"0",JAM"
"711140210"9",JAM"
"711140210"8",JAM"
"711140210"7",JAM"
"711140210"6",JAM"
"711140210"5",JAM"
"711140210"4",JAM"
"711140210"3",JAM"
"711140210"2",JAM"
"711140210"1",JAM"
"711140210"0",JAM"
"711140209"9",JAM"
"711140209"8",JAM"
"711140208"0",JAM"
"711140208"7",JAM"
"711140208"6",JAM"
"711140208"5",JAM"
"711140208"4",JAM"
"711140208"3",JAM"
"711140208"2",JAM"
"711140208"1",JAM"
"711140207"9",JAM"
"711140207"8",JAM"
"711140207"7",JAM"
"711140207"6",JAM"
"711140207"5",JAM"
"711140207"4",JAM"
"711140207"3",JAM"
"711140207"2",JAM"
"711140207"1",JAM"
"711140207"0",JAM"
"711140206"9",JAM"
"711140206"8",JAM"
"711140206"7",JAM"
"711140206"6",JAM"
"711140206"5",JAM"
"711140206"4",JAM"
"711140206"3",JAM"
"711140206"2",JAM"
"711140206"1",JAM"
"711140206"0",JAM"
"711140205"9",JAM"
"711140205"8",JAM"
"711140205"7",JAM"
"711140205"6",JAM"
"711140205"5",JAM"
"711140205"4",JAM"
"711140205"3",JAM"
"711140205"2",JAM"
"711140205"1",JAM"
"711140205"0",JAM"
"711140204"9",JAM"
"711140204"8",JAM"
"711140204"7",JAM"
"711140204"6",JAM"
"711140204"5",JAM"
"711140204"4",JAM"
"711140204"3",JAM"
"711140204"2",JAM"
"711140204"1",JAM"
"711140204"0",JAM"
"711140203"9",JAM"
"711140203"8",JAM"
"711140203"7",JAM"
"711140203"6",JAM"
"711140203"5",JAM"
"711140203"4",JAM"
"711140203"3",JAM"
"711140203"2",JAM"
"711140203"1",JAM"
"711140203"0",JAM"
"711140202"9",JAM"
"711140202"8",JAM"
"711140202"7",JAM"
"711140202"6",JAM"
"711140202"5",JAM"
"711140202"4",JAM"
"711140202"3",JAM"
"711140202"2",JAM"
"711140202"1",JAM"
"711140202"0",JAM"
"711140201"9",JAM"
"711140201"8",JAM"
"711140201"7",JAM"
"711140201"6",JAM"
"711140201"5",JAM"
"711140201"4",JAM"
"711140201"3",JAM"
"711140201"2",JAM"
"711140201"1",JAM"
"711140201"0",JAM"
"711140200"9",JAM"
"711140200"8",JAM"
"711140200"7",JAM"
"711140200"6",JAM"
"711140200"5",JAM"
"711140200"4",JAM"
"711140200"3",JAM"
"711140200"2",JAM"
"711140200"1",JAM"
"711140103"5",TRIP"
"711140102"9",TRIP"
"711140102"7",TRIP"
"711140102"3",TRIP"
"711140102"2",TRIP"
"711140102"1",TRIP"
"711140102"0",TRIP"
"711140101"9",TRIP"
"711140101"8",TRIP"
"711140101"7",TRIP"
"711140101"6",TRIP"
"711140101"5",TRIP"
"711140101"4",TRIP"
"711140101"3",TRIP"
"711140101"2",TRIP"
"711140101"1",TRIP"
