name,trans_no,total_jjg,total_brd,spb_unit,spb_divisi
REC-220926-053,SVFTML26260922134821119,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08
REC-220926-055,SVFTML26260922140132480,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06
REC-220926-057,SVFTMM66260922141014581,98,25,ASRE,ASRE01
REC-220926-071,SVFTML26260922150130696,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07
REC-220926-072,SVFTMM66260922150215256,143,0,APLE,APLE01
REC-220926-074,SVFTML26260922150720487,,,TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE,TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01
REC-220926-076,SVFTMM66260922151432635,44,0,ASRE,ASRE01
REC-220926-079,SVFTML26260922152245655,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08
REC-220926-081,SVFTMM66260922152420350,21,0,ASRE,ASRE02
REC-220926-100,SVFTMM66260922161753970,25,20,ASRE,ASRE02
REC-220926-102,SVFTML26260922162811659,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05
REC-220926-113,SVFTMM66260922171915102,62,30,ASRE,ASRE01
REC-220926-114,SVFTMM66260922172308672,131,0,APLE,APLE01
REC-220926-115,SVFTMM66260922173848468,33,0,ASRE,ASRE02
REC-220926-116,SVFTML26260922174139199,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05
REC-220926-117,SVFTML26260922174837219,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08
REC-220926-118,SVFTML26260922174949824,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05
REC-220926-120,SVFTML26260922181223598,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06
REC-220926-123,SVFTMM66260922182307143,37,0,ASRE,ASRE02
REC-220926-124,SVFTML26260922182528171,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08
REC-220926-126,SVFTMM66260922183806954,69,0,ASRE,ASRE01
REC-220926-128,SVFTML26260922191202367,,,TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE*TMDE,TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01*TMDE01
REC-220926-129,SVFTML26260922202400498,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06
REC-220926-130,SVFTML26260922203258386,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08*TPRE08
REC-220926-131,SVFTML26260922204606400,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05
REC-220926-132,SVFTML26260922211822578,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05*TPRE05
REC-230926-030,SVFTML26260923095815739,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06*TPRE06
REC-230926-033,SVFTMM66260923101518612,417,4,ASRE,ASRE02
REC-230926-036,SVFTML26260923103047625,,,TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE*TPRE,TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07*TPRE07
REC-230926-048,SVFTMM66260923113100958,83,0,ASRE,ASRE02
