nama_lama,nama_baru
A06a-P,APLE01A06a-P
A06b-P,APLE01A06b-P
A06c-P,APLE01A06c-P
A06d-P,APLE01A06d-P
A07e-P,APLE01A07e-P
A06a,ASRE01A06a
A06b,ASRE01A06b
A06c,ASRE01A06c
A06d,ASRE01A06d
A06e,ASRE01A06e
A06f,ASRE01A06f
A06g,ASRE01A06g
A06h,ASRE01A06h
A06k,ASRE01A06k
A07a,ASRE01A07a
A08a,ASRE01A08a
B06c,ASRE02B06c
B06e,ASRE02B06e
B07a,ASRE02B07a
B07b,ASRE02B07b
B07c,ASRE02B07c
B07d,ASRE02B07d
B07e,ASRE02B07e
B07f,ASRE02B07f
B07g,ASRE02B07g
B08a,ASRE02B08a
B09a,ASRE02B09a
B09b,ASRE02B09b
B10B,ASRE02B10B
B10a,ASRE02B10a
G03a,TMDE01G03a
G03b,TMDE01G03b
G03c,TMDE01G03c
G03d,TMDE01G03d
G03e,TMDE01G03e
G03f,TMDE01G03f
G03g,TMDE01G03g
G03h,TMDE01G03h
G03i,TMDE01G03i
G03j,TMDE01G03j
G03k,TMDE01G03k
G03l,TMDE01G03l
G03m,TMDE01G03m
G03n,TMDE01G03n
G03o,TMDE01G03o
G03p,TMDE01G03p
G04a,TMDE01G04a
G04b,TMDE01G04b
G04c,TMDE01G04c
G04d,TMDE01G04d
G04e,TMDE01G04e
G04f,TMDE01G04f
G04g,TMDE01G04g
G04h,TMDE01G04h
G04i,TMDE01G04i
G04j,TMDE01G04j
G04k,TMDE01G04k
G05a,TMDE01G05a
G05b,TMDE01G05b
G05c,TMDE01G05c
I26w,TMDE01I26w
I26x,TMDE01I26x
I26y,TMDE01I26y
I26z,TMDE01I26z
A24l,TPRE01A24l
A24m,TPRE01A24m
A24p,TPRE01A24p
A24s,TPRE01A24s
A24t,TPRE01A24t
A24w,TPRE01A24w
A24z,TPRE01A24z
A25a,TPRE01A25a
A25b,TPRE01A25b
A25c,TPRE01A25c
A25g,TPRE01A25g
A25h,TPRE01A25h
A25i,TPRE01A25i
A25j,TPRE01A25j
A25k,TPRE01A25k
A25n,TPRE01A25n
A25o,TPRE01A25o
A25q,TPRE01A25q
A25r,TPRE01A25r
A25u,TPRE01A25u
A25v,TPRE01A25v
A25x,TPRE01A25x
A25y,TPRE01A25y
A26d,TPRE01A26d
A26e,TPRE01A26e
A26f,TPRE01A26f
B25d,TPRE02B25d
B25e,TPRE02B25e
B25f,TPRE02B25f
B25i,TPRE02B25i
B25j,TPRE02B25j
B25k,TPRE02B25k
B25n,TPRE02B25n
B25o,TPRE02B25o
B25p,TPRE02B25p
B25s,TPRE02B25s
B25t,TPRE02B25t
B25u,TPRE02B25u
B25v,TPRE02B25v
B25w,TPRE02B25w
B25x,TPRE02B25x
B25z,TPRE02B25z
B26a,TPRE02B26a
B26b,TPRE02B26b
B26c,TPRE02B26c
B26g,TPRE02B26g
B26h,TPRE02B26h
B26l,TPRE02B26l
B26m,TPRE02B26m
B26q,TPRE02B26q
B26r,TPRE02B26r
B26y,TPRE02B26y
Bibitan 1,TPRE03Bibitan 1
Bibitan 2,TPRE03Bibitan 2
C13a,TPRE03C13a
C24h,TPRE03C24h
C24i,TPRE03C24i
C24j,TPRE03C24j
C24k,TPRE03C24k
C24p,TPRE03C24p
C24q,TPRE03C24q
C24r,TPRE03C24r
C24s,TPRE03C24s
C25b,TPRE03C25b
C25c,TPRE03C25c
C25d,TPRE03C25d
C25l,TPRE03C25l
C25m,TPRE03C25m
C25n,TPRE03C25n
C25t,TPRE03C25t
C25u,TPRE03C25u
C26a,TPRE03C26a
C26e,TPRE03C26e
C26f,TPRE03C26f
C26g,TPRE03C26g
C26o,TPRE03C26o
C26v,TPRE03C26v
D05a,TPRE04D05a
D05b,TPRE04D05b
D05c,TPRE04D05c
D05d,TPRE04D05d
D05e,TPRE04D05e
D25a,TPRE04D25a
D25b,TPRE04D25b
D25i,TPRE04D25i
D25j,TPRE04D25j
D26c,TPRE04D26c
D26d,TPRE04D26d
D26e,TPRE04D26e
D26f,TPRE04D26f
D26g,TPRE04D26g
D26h,TPRE04D26h
