name,trans_no,total_jjg,total_brd
REC-220926-057,SVFTMM66260922141014581,98,25
REC-220926-072,SVFTMM66260922150215256,143,0
REC-220926-076,SVFTMM66260922151432635,44,0
REC-220926-081,SVFTMM66260922152420350,21,0
REC-220926-100,SVFTMM66260922161753970,25,20
REC-220926-113,SVFTMM66260922171915102,62,30
REC-220926-114,SVFTMM66260922172308672,131,0
REC-220926-115,SVFTMM66260922173848468,33,0
REC-220926-123,SVFTMM66260922182307143,37,0
REC-220926-126,SVFTMM66260922183806954,69,0
REC-230926-033,SVFTMM66260923101518612,417,4
REC-230926-048,SVFTMM66260923113100958,83,0
REC-230926-053,SVFTMM66260923122610967,113,23
REC-230926-054,SVFTMM66260923130718790,59,0
REC-230926-057,SVFTMM66260923133005487,235,0
REC-230926-058,SVFTMM66260923133742662,46,0
REC-230926-059,SVFTMM66260923134653014,617,142
REC-230926-067,SVFTMM66260923142338300,128,30
REC-230926-075,SVFTMM66260923145453288,38,0
REC-230926-078,SVFTMM66260923150005141,45,0
REC-230926-087,SVFTMM66260923154134777,337,0
REC-230926-090,SVFTMM66260923155017496,23,15
REC-230926-105,SVFTMM66260923165827503,108,0
REC-230926-114,SVFTMM66260923171633178,261,16
REC-230926-115,SVFTMM66260923172127557,536,51
REC-230926-123,SVFTMM66260923175423262,66,22
REC-230926-125,SVFTMM66260923182630412,8,0
REC-230926-126,SVFTMM66260923183921802,68,0
REC-230926-129,SVFTMM66260923184649871,1696,485.36
REC-230926-130,SVFTMM66260923185012741,186,0
